Note: Target head pressure setpoints changed as follows,,,,
Through 2/4/13 - 145 psi,,,,
2/4/13 Ð 145psi -> 140psi,,,,
2/20/13 Ð 140psi -> 135psi,,,,
3/7/13 Ð 135psi -> 130psi,,,,
Date & Time,Discharge pressure (psig),Load (tons),Refr compressor power (kW),Utility power (kW)
Fri 1/4/2013 1:15 AM,142,360,250,887
Fri 1/4/2013 1:30 AM,145,402,274,928
Fri 1/4/2013 1:45 AM,142,302,228,924
Fri 1/4/2013 2:00 AM,142,285,225,926
Fri 1/4/2013 2:15 AM,141,289,225,906
Fri 1/4/2013 2:30 AM,141,268,221,897
Fri 1/4/2013 2:45 AM,144,379,265,910
Fri 1/4/2013 3:00 AM,144,341,243,888
Fri 1/4/2013 3:15 AM,141,264,220,889
Fri 1/4/2013 3:30 AM,141,266,219,891
Fri 1/4/2013 3:45 AM,144,368,268,915
Fri 1/4/2013 4:00 AM,143,325,236,906
Fri 1/4/2013 4:15 AM,144,324,239,924
Fri 1/4/2013 4:30 AM,144,362,254,889
Fri 1/4/2013 4:45 AM,143,331,244,883
Fri 1/4/2013 5:00 AM,143,337,239,854
Fri 1/4/2013 5:15 AM,144,356,249,879
Fri 1/4/2013 5:30 AM,146,368,262,861
Fri 1/4/2013 5:45 AM,144,258,216,799
Fri 1/4/2013 6:00 AM,144,205,203,786
Fri 1/4/2013 6:15 AM,143,326,240,789
Fri 1/4/2013 6:30 AM,144,209,207,779
Fri 1/4/2013 6:45 AM,147,272,196,756
Fri 1/4/2013 7:00 AM,140,163,104,694
Fri 1/4/2013 7:15 AM,144,249,169,753
Fri 1/4/2013 7:30 AM,145,251,230,775
Fri 1/4/2013 7:45 AM,140,253,212,795
Fri 1/4/2013 8:00 AM,139,206,200,774
Fri 1/4/2013 8:15 AM,143,233,155,719
Fri 1/4/2013 8:30 AM,144,235,159,704
Fri 1/4/2013 8:45 AM,141,163,133,687
Fri 1/4/2013 9:00 AM,140,156,127,654
Fri 1/4/2013 9:15 AM,142,217,149,691
Fri 1/4/2013 9:30 AM,144,191,140,644
Fri 1/4/2013 9:45 AM,143,229,157,732
Fri 1/4/2013 10:00 AM,144,242,163,729
Fri 1/4/2013 10:15 AM,139,209,142,757
Fri 1/4/2013 10:30 AM,140,230,151,727
Fri 1/4/2013 10:45 AM,145,305,238,750
Fri 1/4/2013 11:00 AM,145,173,199,759
Fri 1/4/2013 11:15 AM,143,216,149,728
Fri 1/4/2013 11:30 AM,140,209,146,704
Fri 1/4/2013 11:45 AM,145,237,160,706
Fri 1/4/2013 12:00 PM,143,249,169,737
Fri 1/4/2013 12:15 PM,146,233,162,726
Fri 1/4/2013 12:30 PM,141,218,148,668
Fri 1/4/2013 12:45 PM,142,198,200,704
Fri 1/4/2013 1:00 PM,137,163,130,709
Fri 1/4/2013 1:15 PM,141,162,107,576
Fri 1/4/2013 1:30 PM,140,213,142,644
Fri 1/4/2013 1:45 PM,141,176,130,656
Fri 1/4/2013 2:00 PM,144,208,204,709
Fri 1/4/2013 2:15 PM,143,235,179,705
Fri 1/4/2013 2:30 PM,142,246,164,614
Fri 1/4/2013 2:45 PM,138,193,137,634
Fri 1/4/2013 3:00 PM,143,191,144,629
Fri 1/4/2013 3:15 PM,142,181,138,592
Fri 1/4/2013 3:30 PM,147,248,172,592
Fri 1/4/2013 3:45 PM,144,230,157,579
Fri 1/4/2013 4:00 PM,141,154,126,572
Fri 1/4/2013 4:15 PM,143,163,106,563
Fri 1/4/2013 4:30 PM,144,163,138,560
Fri 1/4/2013 4:45 PM,143,160,105,555
Fri 1/4/2013 5:00 PM,146,162,109,530
Fri 1/4/2013 5:15 PM,153,232,177,553
Fri 1/4/2013 5:30 PM,141,176,138,607
Fri 1/4/2013 5:45 PM,139,142,117,558
Fri 1/4/2013 6:00 PM,141,117,79,498
Fri 1/4/2013 6:15 PM,144,163,107,487
Fri 1/4/2013 6:30 PM,139,143,117,496
Fri 1/4/2013 6:45 PM,142,163,105,475
Fri 1/4/2013 7:00 PM,138,152,123,499
Fri 1/4/2013 7:15 PM,147,208,151,498
Fri 1/4/2013 7:30 PM,144,163,139,493
Fri 1/4/2013 7:45 PM,145,126,86,464
Fri 1/4/2013 8:00 PM,134,68,62,436
Fri 1/4/2013 8:15 PM,143,127,84,418
Fri 1/4/2013 8:30 PM,143,128,86,431
Fri 1/4/2013 8:45 PM,146,101,78,380
Fri 1/4/2013 9:00 PM,144,125,86,377
Fri 1/4/2013 9:15 PM,142,142,93,394
Fri 1/4/2013 9:30 PM,142,122,81,396
Fri 1/4/2013 9:45 PM,144,113,80,351
Fri 1/4/2013 10:00 PM,145,61,66,316
Fri 1/4/2013 10:15 PM,138,118,79,338
Fri 1/4/2013 10:30 PM,131,92,73,286
Fri 1/4/2013 10:45 PM,132,143,90,286
Fri 1/4/2013 11:00 PM,146,123,84,300
Fri 1/4/2013 11:15 PM,136,29,55,285
Fri 1/4/2013 11:30 PM,142,56,63,257
Fri 1/4/2013 11:45 PM,143,73,71,241
Sat 1/5/2013 12:00 AM,140,63,66,240
Sat 1/5/2013 12:15 AM,137,49,61,241
Sat 1/5/2013 12:30 AM,131,1,47,239
Sat 1/5/2013 12:45 AM,124,54,43,224
Sat 1/5/2013 1:00 AM,124,80,49,220
Sat 1/5/2013 1:15 AM,116,89,52,222
Sat 1/5/2013 1:30 AM,127,88,56,238
Sat 1/5/2013 1:45 AM,132,75,50,234
Sat 1/5/2013 2:00 AM,135,66,46,229
Sat 1/5/2013 2:15 AM,127,71,46,215
Sat 1/5/2013 2:30 AM,115,75,46,213
Sat 1/5/2013 2:45 AM,113,60,40,210
Sat 1/5/2013 3:00 AM,102,55,37,203
Sat 1/5/2013 3:15 AM,105,52,37,203
Sat 1/5/2013 3:30 AM,104,77,44,201
Sat 1/5/2013 3:45 AM,101,22,73,208
Sat 1/5/2013 4:00 AM,118,22,49,238
Sat 1/5/2013 4:15 AM,116,1,44,225
Sat 1/5/2013 4:30 AM,100,1,40,217
Sat 1/5/2013 4:45 AM,103,53,36,213
Sat 1/5/2013 5:00 AM,100,55,39,210
Sat 1/5/2013 5:15 AM,107,44,35,213
Sat 1/5/2013 5:30 AM,110,71,43,221
Sat 1/5/2013 5:45 AM,107,44,36,212
Sat 1/5/2013 6:00 AM,102,28,31,203
Sat 1/5/2013 6:15 AM,111,80,47,221
Sat 1/5/2013 6:30 AM,114,73,45,229
Sat 1/5/2013 6:45 AM,117,75,46,234
Sat 1/5/2013 7:00 AM,100,17,30,216
Sat 1/5/2013 7:15 AM,96,45,35,224
Sat 1/5/2013 7:30 AM,92,58,38,222
Sat 1/5/2013 7:45 AM,90,0,33,219
Sat 1/5/2013 8:00 AM,96,62,39,225
Sat 1/5/2013 8:15 AM,103,55,37,227
Sat 1/5/2013 8:30 AM,109,67,41,231
Sat 1/5/2013 8:45 AM,97,12,29,212
Sat 1/5/2013 9:00 AM,87,0,25,210
Sat 1/5/2013 9:15 AM,90,0,40,225
Sat 1/5/2013 9:30 AM,95,0,27,230
Sat 1/5/2013 9:45 AM,95,66,40,220
Sat 1/5/2013 10:00 AM,103,61,39,222
Sat 1/5/2013 10:15 AM,103,81,45,215
Sat 1/5/2013 10:30 AM,96,31,32,206
Sat 1/5/2013 10:45 AM,96,43,35,211
Sat 1/5/2013 11:00 AM,93,18,29,201
Sat 1/5/2013 11:15 AM,95,74,40,211
Sat 1/5/2013 11:30 AM,97,77,43,210
Sat 1/5/2013 11:45 AM,96,63,39,212
Sat 1/5/2013 12:00 PM,101,72,42,224
Sat 1/5/2013 12:15 PM,104,48,35,220
Sat 1/5/2013 12:30 PM,108,19,31,224
Sat 1/5/2013 12:45 PM,112,69,43,215
Sat 1/5/2013 1:00 PM,110,51,37,217
Sat 1/5/2013 1:15 PM,108,68,43,217
Sat 1/5/2013 1:30 PM,107,27,33,215
Sat 1/5/2013 1:45 PM,108,25,32,211
Sat 1/5/2013 2:00 PM,107,33,34,206
Sat 1/5/2013 2:15 PM,119,74,47,216
Sat 1/5/2013 2:30 PM,116,58,42,210
Sat 1/5/2013 2:45 PM,121,73,47,219
Sat 1/5/2013 3:00 PM,121,65,44,219
Sat 1/5/2013 3:15 PM,117,66,43,213
Sat 1/5/2013 3:30 PM,116,53,40,217
Sat 1/5/2013 3:45 PM,118,74,48,222
Sat 1/5/2013 4:00 PM,116,34,34,220
Sat 1/5/2013 4:15 PM,115,25,34,221
Sat 1/5/2013 4:30 PM,112,23,33,213
Sat 1/5/2013 4:45 PM,108,26,31,206
Sat 1/5/2013 5:00 PM,105,1,27,208
Sat 1/5/2013 5:15 PM,98,62,39,210
Sat 1/5/2013 5:30 PM,106,90,50,225
Sat 1/5/2013 5:45 PM,106,55,39,220
Sat 1/5/2013 6:00 PM,107,54,39,216
Sat 1/5/2013 6:15 PM,99,34,33,208
Sat 1/5/2013 6:30 PM,95,55,37,210
Sat 1/5/2013 6:45 PM,94,77,41,213
Sat 1/5/2013 7:00 PM,89,0,35,210
Sat 1/5/2013 7:15 PM,93,67,39,212
Sat 1/5/2013 7:30 PM,104,59,40,216
Sat 1/5/2013 7:45 PM,97,19,29,207
Sat 1/5/2013 8:00 PM,98,43,33,213
Sat 1/5/2013 8:15 PM,93,49,35,199
Sat 1/5/2013 8:30 PM,94,52,35,205
Sat 1/5/2013 8:45 PM,98,50,35,205
Sat 1/5/2013 9:00 PM,102,55,40,205
Sat 1/5/2013 9:15 PM,102,18,30,198
Sat 1/5/2013 9:30 PM,105,30,33,203
Sat 1/5/2013 9:45 PM,100,49,34,198
Sat 1/5/2013 10:00 PM,100,61,40,196
Sat 1/5/2013 10:15 PM,105,59,39,201
Sat 1/5/2013 10:30 PM,109,83,46,206
Sat 1/5/2013 10:45 PM,106,62,40,207
Sat 1/5/2013 11:00 PM,108,81,46,210
Sat 1/5/2013 11:15 PM,109,40,35,211
Sat 1/5/2013 11:30 PM,107,67,42,205
Sat 1/5/2013 11:45 PM,105,37,33,202
Sun 1/6/2013 12:00 AM,106,58,41,210
Sun 1/6/2013 12:15 AM,108,26,32,208
Sun 1/6/2013 12:30 AM,99,45,36,201
Sun 1/6/2013 12:45 AM,93,53,37,199
Sun 1/6/2013 1:00 AM,90,0,34,202
Sun 1/6/2013 1:15 AM,84,0,35,199
Sun 1/6/2013 1:30 AM,85,0,31,202
Sun 1/6/2013 1:45 AM,87,0,38,206
Sun 1/6/2013 2:00 AM,96,60,39,212
Sun 1/6/2013 2:15 AM,99,57,39,202
Sun 1/6/2013 2:30 AM,99,53,36,203
Sun 1/6/2013 2:45 AM,107,64,41,225
Sun 1/6/2013 3:00 AM,108,68,41,226
Sun 1/6/2013 3:15 AM,121,60,42,231
Sun 1/6/2013 3:30 AM,122,63,43,231
Sun 1/6/2013 3:45 AM,117,55,40,229
Sun 1/6/2013 4:00 AM,121,65,43,241
Sun 1/6/2013 4:15 AM,115,57,41,238
Sun 1/6/2013 4:30 AM,130,34,84,276
Sun 1/6/2013 4:45 AM,122,64,61,260
Sun 1/6/2013 5:00 AM,128,65,64,257
Sun 1/6/2013 5:15 AM,132,73,68,258
Sun 1/6/2013 5:30 AM,140,66,65,287
Sun 1/6/2013 5:45 AM,146,105,80,281
Sun 1/6/2013 6:00 AM,144,55,63,271
Sun 1/6/2013 6:15 AM,144,71,70,278
Sun 1/6/2013 6:30 AM,147,101,78,297
Sun 1/6/2013 6:45 AM,139,103,76,290
Sun 1/6/2013 7:00 AM,142,39,58,271
Sun 1/6/2013 7:15 AM,144,95,75,283
Sun 1/6/2013 7:30 AM,142,124,81,294
Sun 1/6/2013 7:45 AM,145,96,76,288
Sun 1/6/2013 8:00 AM,147,125,86,292
Sun 1/6/2013 8:15 AM,142,77,71,287
Sun 1/6/2013 8:30 AM,147,92,76,283
Sun 1/6/2013 8:45 AM,138,80,68,287
Sun 1/6/2013 9:00 AM,139,35,55,276
Sun 1/6/2013 9:15 AM,139,60,64,276
Sun 1/6/2013 9:30 AM,145,78,72,285
Sun 1/6/2013 9:45 AM,141,79,68,285
